EntryDate,EntryTime,EntryPrice,Type,ExitDate,ExitTime,ExitPrice,Symbol,Pnl
18-04-2017,09:30:00,42.35,Sell,18-04-2017,09:33:00,55.05,21900CE,-317.5
18-04-2017,09:30:00,43.75,Sell,18-04-2017,14:43:00,56.9,21600PE,-328.75
18-04-2017,09:32:00,89.05,Buy,18-04-2017,13:27:00,106.85,21800CE,445
18-04-2017,14:42:00,82.4,Buy,18-04-2017,15:15:00,109.7,21700PE,682.5
18-04-2017,14:36:00,42.35,Sell,18-04-2017,15:15:00,19.4,21900CE,573.75
19-04-2017,09:30:00,45,Sell,19-04-2017,15:15:00,23.15,21700CE,546.25
19-04-2017,09:30:00,43.3,Sell,19-04-2017,15:15:00,18.35,21400PE,623.75
19-04-2017,10:22:00,92,Buy,19-04-2017,11:31:00,73.6,21600CE,-460
19-04-2017,09:51:00,84.95,Buy,19-04-2017,10:07:00,67.95,21500PE,-425
20-04-2017,09:30:00,20.1,Sell,20-04-2017,15:15:00,0.1,21600CE,500
20-04-2017,09:30:00,39.7,Sell,20-04-2017,09:34:00,51.6,21500PE,-297.5
20-04-2017,09:33:00,105.3,Buy,20-04-2017,10:40:00,94.8,21600PE,-262.5
20-04-2017,10:38:00,39.7,Sell,20-04-2017,15:15:00,10.2,21500PE,737.5
21-04-2017,09:30:00,40.7,Sell,21-04-2017,15:15:00,25.8,21900CE,372.5
21-04-2017,09:30:00,54.5,Sell,21-04-2017,12:19:00,70.85,21300PE,-408.75
21-04-2017,09:32:00,90.45,Buy,21-04-2017,11:24:00,72.35,21400PE,-452.5
24-04-2017,09:30:00,53.95,Sell,24-04-2017,10:01:00,70.15,21800CE,-405
24-04-2017,09:30:00,52.9,Sell,24-04-2017,15:15:00,23.5,21400PE,735
24-04-2017,09:56:00,103.35,Buy,24-04-2017,15:15:00,190.6,21700CE,2181.25
25-04-2017,09:30:00,34.3,Sell,25-04-2017,13:02:00,44.6,22100CE,-257.5
25-04-2017,09:30:00,47,Sell,25-04-2017,15:15:00,21.1,21700PE,647.5
25-04-2017,12:57:00,74.45,Buy,25-04-2017,13:16:00,59.55,22000CE,-372.5
25-04-2017,09:36:00,82.65,Buy,25-04-2017,09:48:00,66.1,21800PE,-413.75
25-04-2017,13:16:00,34.3,Sell,25-04-2017,15:15:00,41.5,22100CE,-180
26-04-2017,09:30:00,49.9,Sell,26-04-2017,09:32:00,64.85,22200CE,-373.75
