,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType
591,30-07-2020 13:54,30-07-2020 15:20,BANKNIFTY30JUL2021900CE,35.55,0.25,25,-1,882.5,expiry over
592,30-07-2020 14:12,30-07-2020 15:20,BANKNIFTY30JUL2022200CE,2.5,0.2,25,1,-57.5,expiry over
593,30-07-2020 14:12,30-07-2020 15:20,BANKNIFTY30JUL2021800CE,36.85,0.3,25,-1,913.75,expiry over
594,30-07-2020 14:18,30-07-2020 15:20,BANKNIFTY30JUL2021700CE,51.75,0.65,25,-1,1277.5,expiry over
595,06-08-2020 10:21,06-08-2020 12:03,BANKNIFTY06AUG2021600PE,151.85,285.8,25,-1,-3348.75,stoploss hit
596,06-08-2020 12:03,06-08-2020 12:26,BANKNIFTY06AUG2021500CE,143.8,271,25,-1,-3180,stoploss hit
597,06-08-2020 09:31,06-08-2020 12:54,BANKNIFTY06AUG2021600CE,148.25,269.6,25,-1,-3033.75,stoploss hit
598,06-08-2020 12:56,06-08-2020 14:19,BANKNIFTY06AUG2021800PE,79,145,25,-1,-1650,stoploss hit
599,06-08-2020 12:47,06-08-2020 14:26,BANKNIFTY06AUG2021700PE,87.95,227.55,25,-1,-3490,stoploss hit
600,06-08-2020 14:26,06-08-2020 14:43,BANKNIFTY06AUG2021600CE,21.85,53.2,25,-1,-783.75,stoploss hit
601,06-08-2020 12:26,06-08-2020 15:20,BANKNIFTY06AUG2021600PE,111.9,0.6,25,-1,2782.5,expiry over
602,06-08-2020 12:56,06-08-2020 15:20,BANKNIFTY06AUG2021100PE,2.65,0.2,25,1,-61.25,expiry over
603,13-08-2020 15:12,13-08-2020 15:14,BANKNIFTY13AUG2022200CE,1.4,2.9,25,-1,-37.5,stoploss hit
604,13-08-2020 11:41,13-08-2020 15:20,BANKNIFTY13AUG2022400CE,38.8,0.15,25,-1,966.25,expiry over
605,13-08-2020 11:41,13-08-2020 15:20,BANKNIFTY13AUG2022300CE,71.85,0.3,25,-1,1788.75,expiry over
606,13-08-2020 15:12,13-08-2020 15:20,BANKNIFTY13AUG2022100CE,70,101.6,25,1,790,expiry over
607,20-08-2020 09:57,20-08-2020 15:20,BANKNIFTY20AUG2022000PE,85.2,3.8,25,-1,2035,expiry over
608,20-08-2020 12:36,20-08-2020 15:20,BANKNIFTY20AUG2022000CE,47.4,2.75,25,-1,1116.25,expiry over
609,27-08-2020 12:10,27-08-2020 15:20,BANKNIFTY27AUG2023600PE,54.5,2.6,25,-1,1297.5,expiry over
610,03-09-2020 09:37,03-09-2020 11:31,BANKNIFTY03SEP2023800PE,78.65,146,25,-1,-1683.75,stoploss hit
611,03-09-2020 10:00,03-09-2020 15:20,BANKNIFTY03SEP2023800CE,91.6,0.3,25,-1,2282.5,expiry over
612,03-09-2020 11:36,03-09-2020 15:20,BANKNIFTY03SEP2023700CE,76.05,0.2,25,-1,1896.25,expiry over
613,03-09-2020 15:01,03-09-2020 15:20,BANKNIFTY03SEP2023600CE,10.4,0.2,25,1,-255,expiry over
614,03-09-2020 15:01,03-09-2020 15:20,BANKNIFTY03SEP2023600CE,10.4,0.2,25,-1,255,expiry over
615,10-09-2020 09:48,10-09-2020 10:47,BANKNIFTY10SEP2022500CE,71.5,140.6,25,-1,-1727.5,stoploss hit
616,10-09-2020 11:39,10-09-2020 13:00,BANKNIFTY10SEP2022600PE,59.1,119.15,25,-1,-1501.25,stoploss hit
617,10-09-2020 10:47,10-09-2020 13:16,BANKNIFTY10SEP2022500PE,56.15,114,25,-1,-1446.25,stoploss hit
618,10-09-2020 13:25,10-09-2020 13:36,BANKNIFTY10SEP2022400CE,29,59.6,25,-1,-765,stoploss hit
