,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType
272,2019-11-14 14:56:00,2019-11-14 15:20:00,BANKNIFTY14NOV1930600PE,14.35,0.15,25,-1,355.0,expiry over
273,2019-11-14 15:01:00,2019-11-14 15:20:00,BANKNIFTY14NOV1930700PE,13.0,0.3,25,-1,317.5,expiry over
274,2019-11-21 09:42:00,2019-11-21 15:20:00,BANKNIFTY21NOV1931300PE,97.0,0.25,25,-1,2418.75,expiry over
275,2019-11-28 09:32:00,2019-11-28 15:20:00,BANKNIFTY28NOV1931900PE,85.95,0.15,25,-1,2145.0,expiry over
276,2019-11-28 11:46:00,2019-11-28 15:20:00,BANKNIFTY28NOV1932000PE,59.25,0.1,25,-1,1478.75,expiry over
277,2019-11-28 15:08:00,2019-11-28 15:20:00,BANKNIFTY28NOV1932100PE,2.75,0.4,25,1,-58.75,expiry over
278,2019-11-28 15:08:00,2019-11-28 15:20:00,BANKNIFTY28NOV1932100PE,2.75,0.4,25,-1,58.75,expiry over
279,2019-12-05 12:17:00,2019-12-05 12:35:00,BANKNIFTY05DEC1931800CE,51.75,97.2,25,-1,-1136.25,stoploss hit
280,2019-12-05 09:36:00,2019-12-05 15:20:00,BANKNIFTY05DEC1932100CE,84.35,0.05,25,-1,2107.5,expiry over
281,2019-12-05 11:47:00,2019-12-05 15:20:00,BANKNIFTY05DEC1932000CE,107.0,0.05,25,-1,2673.75,expiry over
282,2019-12-05 11:47:00,2019-12-05 15:20:00,BANKNIFTY05DEC1932500CE,3.6,0.05,25,1,-88.75,expiry over
283,2019-12-05 11:47:00,2019-12-05 15:20:00,BANKNIFTY05DEC1931900CE,86.95,0.05,25,-1,2172.5,expiry over
284,2019-12-05 12:17:00,2019-12-05 15:20:00,BANKNIFTY05DEC1932300CE,2.6,0.05,25,1,-63.75000000000001,expiry over
285,2019-12-05 14:40:00,2019-12-05 15:20:00,BANKNIFTY05DEC1931800CE,14.0,0.35,25,-1,341.25,expiry over
286,2019-12-12 09:46:00,2019-12-12 15:20:00,BANKNIFTY12DEC1931400PE,82.35,0.1,25,-1,2056.25,expiry over
287,2019-12-12 14:09:00,2019-12-12 15:20:00,BANKNIFTY12DEC1931500PE,30.45,0.1,25,-1,758.75,expiry over
288,2019-12-12 14:48:00,2019-12-12 15:20:00,BANKNIFTY12DEC1931500PE,2.75,0.1,25,1,-66.25,expiry over
289,2019-12-12 14:48:00,2019-12-12 15:20:00,BANKNIFTY12DEC1931600PE,17.35,0.3,25,-1,426.25,expiry over
290,2019-12-19 09:32:00,2019-12-19 11:10:00,BANKNIFTY19DEC1932200CE,51.65,93.65,25,-1,-1050.0000000000002,stoploss hit
291,2019-12-19 11:11:00,2019-12-19 15:20:00,BANKNIFTY19DEC1932200PE,53.35,0.35,25,-1,1325.0,expiry over
292,2019-12-26 09:41:00,2019-12-26 15:20:00,BANKNIFTY26DEC1932300CE,38.65,0.15,25,-1,962.5,expiry over
293,2019-12-26 12:08:00,2019-12-26 15:20:00,BANKNIFTY26DEC1932200CE,38.05,0.1,25,-1,948.7499999999999,expiry over
294,2019-12-26 13:48:00,2019-12-26 15:20:00,BANKNIFTY26DEC1932200CE,5.9,0.1,25,1,-145.00000000000003,expiry over
295,2019-12-26 13:48:00,2019-12-26 15:20:00,BANKNIFTY26DEC1932100CE,23.1,0.15,25,-1,573.7500000000001,expiry over
296,2020-01-02 09:55:00,2020-01-02 11:54:00,BANKNIFTY02JAN2032200CE,49.8,90.15,25,-1,-1008.7500000000002,stoploss hit
297,2020-01-02 11:49:00,2020-01-02 15:20:00,BANKNIFTY02JAN2032200PE,29.0,0.1,25,-1,722.5,expiry over
298,2020-01-02 14:09:00,2020-01-02 15:20:00,BANKNIFTY02JAN2032300PE,14.0,0.1,25,-1,347.5,expiry over
