,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType,IndexSL
538,2021-04-06 10:20:00,2021-04-07 11:16:00,BANKNIFTY08APR2132600CE,506.2,585.9,25,-1,-1992.4999999999998,index sl call,32950.45
539,2021-04-07 10:05:00,2021-04-08 09:16:00,BANKNIFTY08APR2132800PE,383.3,60.05,25,-1,8081.25, expiry timeup,32523.7
540,2021-04-07 11:10:00,2021-04-08 09:28:00,BANKNIFTY08APR2132900PE,322.5,60.6,25,-1,6547.499999999999, expiry timeup,32810.05
541,2021-04-05 09:55:00,2021-04-08 09:31:00,BANKNIFTY08APR2133000CE,525.0,370.0,25,-1,3875.0,index sl call,33271.25
542,2021-04-07 12:30:00,2021-04-08 13:34:00,BANKNIFTY08APR2133100PE,325.65,60.15,25,-1,6637.5, expiry timeup,32876.2
543,2021-04-08 12:10:00,2021-04-08 13:36:00,BANKNIFTY15APR2133000CE,620.0,697.15,25,-1,-1928.7499999999995,index sl call,33186.55
544,2021-04-08 10:00:00,2021-04-08 14:34:00,BANKNIFTY15APR2133200PE,515.0,681.4,25,-1,-4159.999999999999,index sl put,32907.95
545,2021-04-09 09:50:00,2021-04-09 10:08:00,BANKNIFTY15APR2132600CE,545.5,723.15,25,-1,-4441.249999999999, StopLoss Hit,32804.2
546,2021-04-08 15:00:00,2021-04-12 09:16:00,BANKNIFTY15APR2132800CE,566.35,55.15,25,-1,12780.000000000002, expiry timeup,32905.5
547,2021-04-09 14:35:00,2021-04-12 09:16:00,BANKNIFTY15APR2132500CE,480.95,93.5,25,-1,9686.25, expiry timeup,32560.3
548,2021-04-12 11:30:00,2021-04-13 09:50:00,BANKNIFTY15APR2130900CE,500.9,549.15,25,-1,-1206.25,index sl call,31171.95
549,2021-04-12 10:20:00,2021-04-13 13:56:00,BANKNIFTY15APR2131100CE,513.1,622.0,25,-1,-2722.4999999999995,index sl call,31475.85
550,2021-04-13 13:40:00,2021-04-15 09:16:00,BANKNIFTY15APR2131300PE,317.35,45.6,25,-1,6793.75, expiry timeup,31115.25
551,2021-04-13 14:00:00,2021-04-15 09:23:00,BANKNIFTY15APR2131600PE,322.1,63.75,25,-1,6458.750000000001, expiry timeup,31422.1
552,2021-04-15 10:05:00,2021-04-15 10:21:00,BANKNIFTY22APR2131800PE,582.0,712.8,25,-1,-3269.999999999999,index sl put,31626.65
553,2021-04-15 12:40:00,2021-04-19 09:16:00,BANKNIFTY22APR2131800PE,597.15,1148.4,25,-1,-13781.250000000004, StopLoss Hit,31723.6
554,2021-04-15 14:10:00,2021-04-19 09:16:00,BANKNIFTY22APR2132100PE,619.8,1361.7,25,-1,-18547.500000000004, StopLoss Hit,31929.85
555,2021-04-19 09:35:00,2021-04-19 13:23:00,BANKNIFTY22APR2130600CE,543.25,572.5,25,-1,-731.25,index sl call,30812.5
556,2021-04-20 10:40:00,2021-04-20 11:23:00,BANKNIFTY22APR2131600PE,335.65,394.9,25,-1,-1481.25,index sl put,31475.7
557,2021-04-20 12:40:00,2021-04-22 09:16:00,BANKNIFTY22APR2131300CE,350.0,30.25,25,-1,7993.75, expiry timeup,31385.0
558,2021-04-22 09:40:00,2021-04-22 10:27:00,BANKNIFTY29APR2130800CE,617.3,750.95,25,-1,-3341.2500000000023,index sl call,30961.9
559,2021-04-20 14:50:00,2021-04-22 11:44:00,BANKNIFTY22APR2131000CE,340.9,352.15,25,-1,-281.25,index sl call,31194.15
560,2021-04-19 14:55:00,2021-04-22 11:47:00,BANKNIFTY22APR2130900PE,450.15,87.35,25,-1,9069.999999999998, expiry timeup,30555.25
561,2021-04-23 14:45:00,2021-04-26 09:17:00,BANKNIFTY29APR2131600CE,593.0,905.9,25,-1,-7822.499999999999,index sl call,31833.8
562,2021-04-22 12:15:00,2021-04-27 09:55:00,BANKNIFTY29APR2131400PE,650.25,129.4,25,-1,13021.25, expiry timeup,31217.8
563,2021-04-22 12:55:00,2021-04-27 10:29:00,BANKNIFTY29APR2131400PE,617.2,122.15,25,-1,12376.250000000002, expiry timeup,31329.05
564,2021-04-26 15:00:00,2021-04-27 10:41:00,BANKNIFTY29APR2132300CE,468.4,485.15,25,-1,-418.75,index sl call,32421.85
565,2021-04-22 14:15:00,2021-04-27 11:50:00,BANKNIFTY29APR2131600PE,632.4,124.85,25,-1,12688.749999999998, expiry timeup,31398.35
566,2021-04-27 11:15:00,2021-04-28 12:38:00,BANKNIFTY29APR2132500PE,379.55,75.55,25,-1,7600.0, expiry timeup,32481.1
567,2021-04-27 12:20:00,2021-04-28 12:42:00,BANKNIFTY29APR2132600PE,365.85,68.85,25,-1,7425.0, expiry timeup,32591.45
568,2021-04-28 11:10:00,2021-04-29 09:16:00,BANKNIFTY29APR2133100PE,285.2,18.1,25,-1,6677.499999999999, expiry timeup,33049.7
569,2021-04-28 12:45:00,2021-04-29 09:16:00,BANKNIFTY29APR2133400PE,296.0,34.85,25,-1,6528.749999999999, expiry timeup,33257.3
570,2021-04-29 11:05:00,2021-04-29 11:22:00,BANKNIFTY06MAY2133400CE,655.0,816.9,25,-1,-4047.4999999999995,index sl call,33582.35
571,2021-04-29 13:05:00,2021-04-29 14:02:00,BANKNIFTY06MAY2133900PE,674.9,859.2,25,-1,-4607.500000000002,index sl put,33572.05
572,2021-04-29 15:00:00,2021-05-03 09:16:00,BANKNIFTY06MAY2133700CE,685.0,80.7,25,-1,15107.499999999998, expiry timeup,33799.95
573,2021-04-30 09:55:00,2021-05-03 12:35:00,BANKNIFTY06MAY2133300CE,657.0,128.4,25,-1,13215.0, expiry timeup,33398.85
574,2021-05-03 12:40:00,2021-05-03 13:16:00,BANKNIFTY06MAY2132100CE,567.9,622.75,25,-1,-1371.2500000000005,index sl call,32307.65
575,2021-04-30 13:15:00,2021-05-03 13:20:00,BANKNIFTY06MAY2133200CE,569.05,110.8,25,-1,11456.249999999998, expiry timeup,33253.75
576,2021-05-03 13:50:00,2021-05-03 14:22:00,BANKNIFTY06MAY2132000CE,529.0,641.9,25,-1,-2822.4999999999995,index sl call,32193.6
577,2021-05-03 12:20:00,2021-05-03 14:36:00,BANKNIFTY06MAY2132300CE,500.0,658.6,25,-1,-3965.0000000000005, StopLoss Hit,32481.8
578,2021-05-04 09:35:00,2021-05-04 09:44:00,BANKNIFTY06MAY2132800PE,394.1,523.65,25,-1,-3238.749999999999, StopLoss Hit,32672.45
579,2021-05-04 10:35:00,2021-05-04 13:13:00,BANKNIFTY06MAY2132900PE,415.0,548.0,25,-1,-3325.0, StopLoss Hit,32771.95
580,2021-05-03 15:05:00,2021-05-04 14:55:00,BANKNIFTY06MAY2132500PE,477.0,495.95,25,-1,-473.7499999999997,index sl put,32260.05
581,2021-05-04 14:40:00,2021-05-05 10:43:00,BANKNIFTY06MAY2132400CE,386.5,504.0,25,-1,-2937.5, StopLoss Hit,32747.8
582,2021-05-05 13:10:00,2021-05-05 14:09:00,BANKNIFTY06MAY2132800PE,286.35,413.0,25,-1,-3166.2499999999995, StopLoss Hit,32694.25
583,2021-05-05 11:10:00,2021-05-05 15:26:00,BANKNIFTY06MAY2132600CE,359.7,444.2,25,-1,-2112.5,index sl call,32826.85
584,2021-05-05 14:25:00,2021-05-06 12:57:00,BANKNIFTY06MAY2132600PE,255.9,50.95,25,-1,5123.75, expiry timeup,32563.2
585,2021-05-04 13:15:00,2021-05-06 14:02:00,BANKNIFTY06MAY2132500CE,464.75,422.85,25,-1,1047.4999999999995,index sl call,32895.4
586,2021-05-07 11:00:00,2021-05-07 12:25:00,BANKNIFTY12MAY2133000PE,484.2,601.4,25,-1,-2929.9999999999995,index sl put,32836.8
587,2021-05-07 13:05:00,2021-05-10 10:18:00,BANKNIFTY12MAY2132900CE,498.0,604.0,25,-1,-2650.0,index sl call,33242.35
588,2021-05-10 10:35:00,2021-05-10 13:12:00,BANKNIFTY12MAY2133300PE,361.15,417.1,25,-1,-1398.7500000000011,index sl put,33153.0
589,2021-05-10 10:05:00,2021-05-11 09:16:00,BANKNIFTY12MAY2133100PE,383.0,505.0,25,-1,-3050.0, StopLoss Hit,33028.15
590,2021-05-11 09:50:00,2021-05-11 10:25:00,BANKNIFTY12MAY2132800CE,247.6,296.05,25,-1,-1211.2500000000005,index sl call,32873.8
591,2021-05-11 12:05:00,2021-05-11 13:01:00,BANKNIFTY12MAY2133000PE,223.4,282.05,25,-1,-1466.2500000000002,index sl put,32920.7
592,2021-05-11 14:15:00,2021-05-12 11:08:00,BANKNIFTY12MAY2132800CE,233.85,37.75,25,-1,4902.5, expiry timeup,32877.2
593,2021-05-12 11:10:00,2021-05-12 12:15:00,BANKNIFTY20MAY2132500CE,529.45,611.2,25,-1,-2043.75,index sl call,32655.8
594,2021-05-14 12:05:00,2021-05-17 09:17:00,BANKNIFTY20MAY2132200CE,467.25,505.0,25,-1,-943.75,index sl call,32318.3
595,2021-05-14 10:15:00,2021-05-17 09:42:00,BANKNIFTY20MAY2132400CE,497.45,554.2,25,-1,-1418.7500000000014,index sl call,32690.25
596,2021-05-12 09:35:00,2021-05-17 10:09:00,BANKNIFTY20MAY2132600CE,544.0,524.9,25,-1,477.50000000000057,index sl call,32802.15
597,2021-05-17 09:45:00,2021-05-18 09:16:00,BANKNIFTY20MAY2132800PE,419.85,52.55,25,-1,9182.5, expiry timeup,32637.1
598,2021-05-17 14:30:00,2021-05-18 13:43:00,BANKNIFTY20MAY2133300PE,372.0,72.0,25,-1,7500.0, expiry timeup,33227.45
599,2021-05-18 11:00:00,2021-05-19 09:17:00,BANKNIFTY20MAY2134000PE,300.0,412.5,25,-1,-2812.5,index sl put,33861.1
600,2021-05-19 11:00:00,2021-05-19 12:09:00,BANKNIFTY20MAY2133700CE,236.1,310.8,25,-1,-1867.5000000000005, StopLoss Hit,33829.8
601,2021-05-19 09:45:00,2021-05-20 11:16:00,BANKNIFTY20MAY2133900CE,258.4,49.55,25,-1,5221.249999999999, expiry timeup,33951.1
602,2021-05-20 15:20:00,2021-05-21 09:19:00,BANKNIFTY27MAY2133300CE,578.05,762.1,25,-1,-4601.250000000002, StopLoss Hit,33739.55
